branch_id,branch_name,city,state,manager_name
B101,Mumbai Finance Branch 101,Mumbai,Maharashtra,Faiyaz Agrawal
B102,Pune Finance Branch 102,Pune,Maharashtra,Damini Rout
B103,Delhi Finance Branch 103,Delhi,Delhi,Kavya Jaggi
B104,Mumbai Finance Branch 104,Mumbai,Maharashtra,Aaina Gandhi
B105,Patna Finance Branch 105,Patna,Bihar,Lakshay Luthra
B106,Pune Finance Branch 106,Pune,Maharashtra,Manjari Khosla
B107,Pune Finance Branch 107,Pune,Maharashtra,Kiara Som
B108,Delhi Finance Branch 108,Delhi,Delhi,Tejas Sankaran
B109,Jaipur Finance Branch 109,Jaipur,Rajasthan,Siya Roy
B110,Chandigarh Finance Branch 110,Chandigarh,Punjab,Amira Ahuja
B111,Patna Finance Branch 111,Patna,Bihar,Madhup Srivastava
B112,Lucknow Finance Branch 112,Lucknow,Uttar Pradesh,Nehmat Kaul
B113,Patna Finance Branch 113,Patna,Bihar,Samar Ramanathan
B114,Lucknow Finance Branch 114,Lucknow,Uttar Pradesh,Vardaniya Arya
B115,Mumbai Finance Branch 115,Mumbai,Maharashtra,Umang Gole
B116,Hyderabad Finance Branch 116,Hyderabad,Telangana,Divyansh Baral
B117,Lucknow Finance Branch 117,Lucknow,Uttar Pradesh,Devansh Bose
B118,Mumbai Finance Branch 118,Mumbai,Maharashtra,Kartik Date
B119,Hyderabad Finance Branch 119,Hyderabad,Telangana,Mannat Bhat
B120,Patna Finance Branch 120,Patna,Bihar,Amira Ghose
B121,Delhi Finance Branch 121,Delhi,Delhi,Hansh Varghese
B122,Jaipur Finance Branch 122,Jaipur,Rajasthan,Nakul Baral
B123,Lucknow Finance Branch 123,Lucknow,Uttar Pradesh,Kaira Ramaswamy
B124,Chandigarh Finance Branch 124,Chandigarh,Punjab,Eva Dhawan
B125,Jaipur Finance Branch 125,Jaipur,Rajasthan,Kismat Divan
B126,Mumbai Finance Branch 126,Mumbai,Maharashtra,Ryan Sathe
B127,Mumbai Finance Branch 127,Mumbai,Maharashtra,Kismat Joshi
B128,Delhi Finance Branch 128,Delhi,Delhi,Kashvi Bobal
B129,Chandigarh Finance Branch 129,Chandigarh,Punjab,Manikya Balay
B130,Pune Finance Branch 130,Pune,Maharashtra,Pranay Balay
B131,Mumbai Finance Branch 131,Mumbai,Maharashtra,Divyansh Wagle
B132,Patna Finance Branch 132,Patna,Bihar,Onkar Sane
B133,Kochi Finance Branch 133,Kochi,Kerala,Ehsaan Saini
B134,Chandigarh Finance Branch 134,Chandigarh,Punjab,Advika Ben
B135,Kolkata Finance Branch 135,Kolkata,West Bengal,Arhaan Cheema
B136,Pune Finance Branch 136,Pune,Maharashtra,Dhanush Dutta
B137,Delhi Finance Branch 137,Delhi,Delhi,Indranil Mann
B138,Delhi Finance Branch 138,Delhi,Delhi,Amira Sule
B139,Hyderabad Finance Branch 139,Hyderabad,Telangana,Divit Rama
B140,Mumbai Finance Branch 140,Mumbai,Maharashtra,Manjari Saraf
B141,Jaipur Finance Branch 141,Jaipur,Rajasthan,Jayant Master
B142,Patna Finance Branch 142,Patna,Bihar,Anay Kala
B143,Pune Finance Branch 143,Pune,Maharashtra,Badal Sane
B144,Mumbai Finance Branch 144,Mumbai,Maharashtra,Samar Hayer
B145,Chandigarh Finance Branch 145,Chandigarh,Punjab,Vanya Dutta
B146,Jaipur Finance Branch 146,Jaipur,Rajasthan,Drishya Tak
B147,Mumbai Finance Branch 147,Mumbai,Maharashtra,Nayantara Dada
B148,Mumbai Finance Branch 148,Mumbai,Maharashtra,Prisha Wagle
B149,Mumbai Finance Branch 149,Mumbai,Maharashtra,Indranil Jayaraman
B150,Hyderabad Finance Branch 150,Hyderabad,Telangana,Saksham Bhatia
B151,Hyderabad Finance Branch 151,Hyderabad,Telangana,Parinaaz Dey
B152,Lucknow Finance Branch 152,Lucknow,Uttar Pradesh,Mamooty Samra
B153,Patna Finance Branch 153,Patna,Bihar,Ojas Baria
B154,Jaipur Finance Branch 154,Jaipur,Rajasthan,Aarav Dave
B155,Patna Finance Branch 155,Patna,Bihar,Adah Khanna
B156,Patna Finance Branch 156,Patna,Bihar,Bhamini Borra
B157,Mumbai Finance Branch 157,Mumbai,Maharashtra,Tejas Kothari
B158,Kolkata Finance Branch 158,Kolkata,West Bengal,Prerak Sheth
B159,Kochi Finance Branch 159,Kochi,Kerala,Hazel Sama
B160,Delhi Finance Branch 160,Delhi,Delhi,Tushar Bansal
B161,Kochi Finance Branch 161,Kochi,Kerala,Oorja Wali
B162,Patna Finance Branch 162,Patna,Bihar,Yuvaan Shan
B163,Pune Finance Branch 163,Pune,Maharashtra,Ranbir Chandra
B164,Hyderabad Finance Branch 164,Hyderabad,Telangana,Gatik Wali
B165,Chandigarh Finance Branch 165,Chandigarh,Punjab,Rasha Ghosh
B166,Patna Finance Branch 166,Patna,Bihar,Indrans Mander
B167,Jaipur Finance Branch 167,Jaipur,Rajasthan,Aradhya Kibe
B168,Kochi Finance Branch 168,Kochi,Kerala,Tarini Walla
B169,Pune Finance Branch 169,Pune,Maharashtra,Urvi Seshadri
B170,Chandigarh Finance Branch 170,Chandigarh,Punjab,Vaibhav Amble
B171,Mumbai Finance Branch 171,Mumbai,Maharashtra,Tara Shan
B172,Mumbai Finance Branch 172,Mumbai,Maharashtra,Charvi Raval
B173,Patna Finance Branch 173,Patna,Bihar,Amira Deol
B174,Mumbai Finance Branch 174,Mumbai,Maharashtra,Aarush Shah
B175,Kochi Finance Branch 175,Kochi,Kerala,Dhanuk Lata
B176,Jaipur Finance Branch 176,Jaipur,Rajasthan,Ayesha Bora
B177,Hyderabad Finance Branch 177,Hyderabad,Telangana,Ritvik Vaidya
B178,Jaipur Finance Branch 178,Jaipur,Rajasthan,Miraya Jaggi
B179,Hyderabad Finance Branch 179,Hyderabad,Telangana,Purab Khalsa
B180,Patna Finance Branch 180,Patna,Bihar,Tarini Dave
B181,Chandigarh Finance Branch 181,Chandigarh,Punjab,Shray Bera
B182,Lucknow Finance Branch 182,Lucknow,Uttar Pradesh,Abram Basu
B183,Mumbai Finance Branch 183,Mumbai,Maharashtra,Badal Buch
B184,Chandigarh Finance Branch 184,Chandigarh,Punjab,Hridaan Devi
B185,Kolkata Finance Branch 185,Kolkata,West Bengal,Emir Guha
B186,Kochi Finance Branch 186,Kochi,Kerala,Navya Varty
B187,Kochi Finance Branch 187,Kochi,Kerala,Baiju Raj
B188,Kochi Finance Branch 188,Kochi,Kerala,Jayan Hayer
B189,Lucknow Finance Branch 189,Lucknow,Uttar Pradesh,Mamooty Kaur
B190,Delhi Finance Branch 190,Delhi,Delhi,Yuvraj  Kar
B191,Lucknow Finance Branch 191,Lucknow,Uttar Pradesh,Dharmajan Salvi
B192,Chandigarh Finance Branch 192,Chandigarh,Punjab,Anya Varghese
B193,Kolkata Finance Branch 193,Kolkata,West Bengal,Lakshit Buch
B194,Kochi Finance Branch 194,Kochi,Kerala,Veer Kothari
B195,Kolkata Finance Branch 195,Kolkata,West Bengal,Fateh Kala
B196,Chandigarh Finance Branch 196,Chandigarh,Punjab,Ritvik Dyal
B197,Jaipur Finance Branch 197,Jaipur,Rajasthan,Krish Karnik
B198,Lucknow Finance Branch 198,Lucknow,Uttar Pradesh,Kaira Sunder
B199,Delhi Finance Branch 199,Delhi,Delhi,Ela Chandran
B200,Chandigarh Finance Branch 200,Chandigarh,Punjab,Nayantara Wable
B201,Pune Finance Branch 201,Pune,Maharashtra,Anya Mander
B202,Jaipur Finance Branch 202,Jaipur,Rajasthan,Rhea Walia
B203,Mumbai Finance Branch 203,Mumbai,Maharashtra,Khushi Shankar
B204,Chandigarh Finance Branch 204,Chandigarh,Punjab,Lagan Sidhu
B205,Pune Finance Branch 205,Pune,Maharashtra,Hunar Mand
B206,Kochi Finance Branch 206,Kochi,Kerala,Jiya Bail
B207,Mumbai Finance Branch 207,Mumbai,Maharashtra,Vivaan Vig
B208,Kolkata Finance Branch 208,Kolkata,West Bengal,Vihaan Goyal
B209,Delhi Finance Branch 209,Delhi,Delhi,Urvi Bose
B210,Hyderabad Finance Branch 210,Hyderabad,Telangana,Gokul Malhotra
B211,Hyderabad Finance Branch 211,Hyderabad,Telangana,Farhan Dara
B212,Patna Finance Branch 212,Patna,Bihar,Jivin Kohli
B213,Jaipur Finance Branch 213,Jaipur,Rajasthan,Zaina Krishna
B214,Kochi Finance Branch 214,Kochi,Kerala,Kashvi Johal
B215,Jaipur Finance Branch 215,Jaipur,Rajasthan,Arhaan Ahuja
B216,Hyderabad Finance Branch 216,Hyderabad,Telangana,Priyansh Kala
B217,Kolkata Finance Branch 217,Kolkata,West Bengal,Samiha Sandal
B218,Patna Finance Branch 218,Patna,Bihar,Shray Raval
B219,Pune Finance Branch 219,Pune,Maharashtra,Akarsh Luthra
B220,Mumbai Finance Branch 220,Mumbai,Maharashtra,Renee Khurana
B221,Delhi Finance Branch 221,Delhi,Delhi,Vritika Ghosh
B222,Kochi Finance Branch 222,Kochi,Kerala,Anahi Sinha
B223,Mumbai Finance Branch 223,Mumbai,Maharashtra,Neysa Amble
B224,Delhi Finance Branch 224,Delhi,Delhi,Hrishita Agrawal
B225,Lucknow Finance Branch 225,Lucknow,Uttar Pradesh,Jivika Tailor
B226,Chandigarh Finance Branch 226,Chandigarh,Punjab,Rasha Gour
B227,Delhi Finance Branch 227,Delhi,Delhi,Piya Toor
B228,Delhi Finance Branch 228,Delhi,Delhi,Krish Garde
B229,Jaipur Finance Branch 229,Jaipur,Rajasthan,Yuvaan Bajaj
B230,Kolkata Finance Branch 230,Kolkata,West Bengal,Aarna Apte
B231,Lucknow Finance Branch 231,Lucknow,Uttar Pradesh,Jayant Walia
B232,Kolkata Finance Branch 232,Kolkata,West Bengal,Shamik Grewal
B233,Jaipur Finance Branch 233,Jaipur,Rajasthan,Renee Suri
B234,Jaipur Finance Branch 234,Jaipur,Rajasthan,Tara Issac
B235,Jaipur Finance Branch 235,Jaipur,Rajasthan,Aradhya Kala
B236,Mumbai Finance Branch 236,Mumbai,Maharashtra,Amani Das
B237,Kolkata Finance Branch 237,Kolkata,West Bengal,Sara Suri
B238,Kolkata Finance Branch 238,Kolkata,West Bengal,Dhanuk Seshadri
B239,Kochi Finance Branch 239,Kochi,Kerala,Riya Vasa
B240,Patna Finance Branch 240,Patna,Bihar,Jayan Kumar
B241,Lucknow Finance Branch 241,Lucknow,Uttar Pradesh,Saira Sahota
B242,Mumbai Finance Branch 242,Mumbai,Maharashtra,Ryan Tiwari
B243,Lucknow Finance Branch 243,Lucknow,Uttar Pradesh,Lavanya Ghosh
B244,Mumbai Finance Branch 244,Mumbai,Maharashtra,Charvi Korpal
B245,Kolkata Finance Branch 245,Kolkata,West Bengal,Ranbir Srinivasan
B246,Chandigarh Finance Branch 246,Chandigarh,Punjab,Yasmin Saha
B247,Patna Finance Branch 247,Patna,Bihar,Anahi Barman
B248,Kolkata Finance Branch 248,Kolkata,West Bengal,Taran Gala
B249,Hyderabad Finance Branch 249,Hyderabad,Telangana,Heer Ganguly
B250,Jaipur Finance Branch 250,Jaipur,Rajasthan,Rati Subramanian
B251,Kochi Finance Branch 251,Kochi,Kerala,Vritika Sahota
B252,Mumbai Finance Branch 252,Mumbai,Maharashtra,Veer Balan
B253,Lucknow Finance Branch 253,Lucknow,Uttar Pradesh,Gatik Grewal
B254,Jaipur Finance Branch 254,Jaipur,Rajasthan,Sumer Samra
B255,Chandigarh Finance Branch 255,Chandigarh,Punjab,Divyansh Gade
B256,Delhi Finance Branch 256,Delhi,Delhi,Himmat Goel
B257,Chandigarh Finance Branch 257,Chandigarh,Punjab,Neelofar Dugal
B258,Mumbai Finance Branch 258,Mumbai,Maharashtra,Prerak Gopal
B259,Jaipur Finance Branch 259,Jaipur,Rajasthan,Pranay Wable
B260,Mumbai Finance Branch 260,Mumbai,Maharashtra,Purab Samra
B261,Pune Finance Branch 261,Pune,Maharashtra,Amani Dewan
B262,Kochi Finance Branch 262,Kochi,Kerala,Mishti Ramanathan
B263,Kochi Finance Branch 263,Kochi,Kerala,Ishaan Ray
B264,Delhi Finance Branch 264,Delhi,Delhi,Anay Sinha
B265,Lucknow Finance Branch 265,Lucknow,Uttar Pradesh,Jivika Goswami
B266,Patna Finance Branch 266,Patna,Bihar,Rati Sheth
B267,Mumbai Finance Branch 267,Mumbai,Maharashtra,Yuvraj  Sheth
B268,Delhi Finance Branch 268,Delhi,Delhi,Indranil Bhargava
B269,Patna Finance Branch 269,Patna,Bihar,Sahil Grewal
B270,Delhi Finance Branch 270,Delhi,Delhi,Riaan Gour
B271,Patna Finance Branch 271,Patna,Bihar,Emir Hayer
B272,Pune Finance Branch 272,Pune,Maharashtra,Drishya Jayaraman
B273,Hyderabad Finance Branch 273,Hyderabad,Telangana,Vaibhav De
B274,Kolkata Finance Branch 274,Kolkata,West Bengal,Aradhya Dhillon
B275,Kolkata Finance Branch 275,Kolkata,West Bengal,Shamik Garg
B276,Lucknow Finance Branch 276,Lucknow,Uttar Pradesh,Arnav Shere
B277,Patna Finance Branch 277,Patna,Bihar,Prerak Zachariah
B278,Hyderabad Finance Branch 278,Hyderabad,Telangana,Divit Gopal
B279,Patna Finance Branch 279,Patna,Bihar,Nirvaan Ray
B280,Lucknow Finance Branch 280,Lucknow,Uttar Pradesh,Ishaan Sagar
B281,Mumbai Finance Branch 281,Mumbai,Maharashtra,Aniruddh Banerjee
B282,Delhi Finance Branch 282,Delhi,Delhi,Baiju Yadav
B283,Hyderabad Finance Branch 283,Hyderabad,Telangana,Anaya Sehgal
B284,Jaipur Finance Branch 284,Jaipur,Rajasthan,Badal Buch
B285,Lucknow Finance Branch 285,Lucknow,Uttar Pradesh,Taimur Chadha
B286,Kolkata Finance Branch 286,Kolkata,West Bengal,Indranil Dubey
B287,Mumbai Finance Branch 287,Mumbai,Maharashtra,Adira Keer
B288,Lucknow Finance Branch 288,Lucknow,Uttar Pradesh,Manjari Iyengar
B289,Kochi Finance Branch 289,Kochi,Kerala,Chirag Raval
B290,Mumbai Finance Branch 290,Mumbai,Maharashtra,Ehsaan Upadhyay
B291,Pune Finance Branch 291,Pune,Maharashtra,Renee Bakshi
B292,Pune Finance Branch 292,Pune,Maharashtra,Vedika Sodhi
B293,Kolkata Finance Branch 293,Kolkata,West Bengal,Badal Ganguly
B294,Hyderabad Finance Branch 294,Hyderabad,Telangana,Ritvik Rana
B295,Delhi Finance Branch 295,Delhi,Delhi,Ehsaan Sharma
B296,Pune Finance Branch 296,Pune,Maharashtra,Kismat Raman
B297,Kochi Finance Branch 297,Kochi,Kerala,Vanya Warrior
B298,Patna Finance Branch 298,Patna,Bihar,Adah Sidhu
B299,Hyderabad Finance Branch 299,Hyderabad,Telangana,Tara Sachdev
B300,Patna Finance Branch 300,Patna,Bihar,Myra Manda
B301,Lucknow Finance Branch 301,Lucknow,Uttar Pradesh,Urvi Baria
B302,Mumbai Finance Branch 302,Mumbai,Maharashtra,Sahil Saran
B303,Kochi Finance Branch 303,Kochi,Kerala,Parinaaz Walia
B304,Mumbai Finance Branch 304,Mumbai,Maharashtra,Neysa Gole
B305,Chandigarh Finance Branch 305,Chandigarh,Punjab,Adira Basak
B306,Kolkata Finance Branch 306,Kolkata,West Bengal,Ira Kanda
B307,Delhi Finance Branch 307,Delhi,Delhi,Samaira Bhargava
B308,Delhi Finance Branch 308,Delhi,Delhi,Kavya Baria
B309,Delhi Finance Branch 309,Delhi,Delhi,Gokul Dugar
B310,Chandigarh Finance Branch 310,Chandigarh,Punjab,Shray Sampath
B311,Delhi Finance Branch 311,Delhi,Delhi,Yuvraj  Mallick
B312,Pune Finance Branch 312,Pune,Maharashtra,Neysa Thakur
B313,Hyderabad Finance Branch 313,Hyderabad,Telangana,Adah Singh
B314,Jaipur Finance Branch 314,Jaipur,Rajasthan,Ira Mani
B315,Patna Finance Branch 315,Patna,Bihar,Diya Krish
B316,Patna Finance Branch 316,Patna,Bihar,Nishith Gola
B317,Delhi Finance Branch 317,Delhi,Delhi,Prisha Sheth
B318,Kolkata Finance Branch 318,Kolkata,West Bengal,Sahil Bobal
B319,Jaipur Finance Branch 319,Jaipur,Rajasthan,Indrajit Joshi
B320,Chandigarh Finance Branch 320,Chandigarh,Punjab,Indranil Sabharwal
B321,Hyderabad Finance Branch 321,Hyderabad,Telangana,Saksham Sodhi
B322,Chandigarh Finance Branch 322,Chandigarh,Punjab,Vanya Handa
B323,Jaipur Finance Branch 323,Jaipur,Rajasthan,Rati Bains
B324,Hyderabad Finance Branch 324,Hyderabad,Telangana,Hridaan Garg
B325,Lucknow Finance Branch 325,Lucknow,Uttar Pradesh,Shaan Divan
B326,Mumbai Finance Branch 326,Mumbai,Maharashtra,Dhruv Dhillon
B327,Kochi Finance Branch 327,Kochi,Kerala,Romil Doshi
B328,Hyderabad Finance Branch 328,Hyderabad,Telangana,Ivana Wagle
B329,Mumbai Finance Branch 329,Mumbai,Maharashtra,Mannat Gill
B330,Kolkata Finance Branch 330,Kolkata,West Bengal,Ishaan D’Alia
B331,Delhi Finance Branch 331,Delhi,Delhi,Sumer Ben
B332,Patna Finance Branch 332,Patna,Bihar,Hrishita Dara
B333,Chandigarh Finance Branch 333,Chandigarh,Punjab,Yuvaan Bhasin
B334,Kolkata Finance Branch 334,Kolkata,West Bengal,Biju Basak
B335,Delhi Finance Branch 335,Delhi,Delhi,Kanav Ahuja
B336,Jaipur Finance Branch 336,Jaipur,Rajasthan,Raunak Sengupta
B337,Mumbai Finance Branch 337,Mumbai,Maharashtra,Adira Basak
B338,Pune Finance Branch 338,Pune,Maharashtra,Rania Agate
B339,Lucknow Finance Branch 339,Lucknow,Uttar Pradesh,Ishaan Deol
B340,Lucknow Finance Branch 340,Lucknow,Uttar Pradesh,Rhea Khatri
B341,Hyderabad Finance Branch 341,Hyderabad,Telangana,Yuvaan Sem
B342,Mumbai Finance Branch 342,Mumbai,Maharashtra,Hazel Chatterjee
B343,Kolkata Finance Branch 343,Kolkata,West Bengal,Rasha Srinivasan
B344,Pune Finance Branch 344,Pune,Maharashtra,Emir Dua
B345,Delhi Finance Branch 345,Delhi,Delhi,Ivana Mall
B346,Hyderabad Finance Branch 346,Hyderabad,Telangana,Emir Ram
B347,Chandigarh Finance Branch 347,Chandigarh,Punjab,Kismat Rama
B348,Lucknow Finance Branch 348,Lucknow,Uttar Pradesh,Purab Brahmbhatt
B349,Kochi Finance Branch 349,Kochi,Kerala,Eshani Rege
B350,Lucknow Finance Branch 350,Lucknow,Uttar Pradesh,Oorja Varma
B351,Kochi Finance Branch 351,Kochi,Kerala,Alisha Basak
B352,Chandigarh Finance Branch 352,Chandigarh,Punjab,Nayantara Guha
B353,Pune Finance Branch 353,Pune,Maharashtra,Anvi Datta
B354,Hyderabad Finance Branch 354,Hyderabad,Telangana,Amani Virk
B355,Kochi Finance Branch 355,Kochi,Kerala,Aayush Brar
B356,Pune Finance Branch 356,Pune,Maharashtra,Shray Sarkar
B357,Chandigarh Finance Branch 357,Chandigarh,Punjab,Baiju Badami
B358,Kolkata Finance Branch 358,Kolkata,West Bengal,Dishani Chada
B359,Chandigarh Finance Branch 359,Chandigarh,Punjab,Nishith Vig
B360,Patna Finance Branch 360,Patna,Bihar,Himmat Iyer
B361,Delhi Finance Branch 361,Delhi,Delhi,Urvi Bal
B362,Jaipur Finance Branch 362,Jaipur,Rajasthan,Rhea Saran
B363,Delhi Finance Branch 363,Delhi,Delhi,Jayan Mammen
B364,Chandigarh Finance Branch 364,Chandigarh,Punjab,Saira Varkey
B365,Kolkata Finance Branch 365,Kolkata,West Bengal,Romil Sankaran
B366,Hyderabad Finance Branch 366,Hyderabad,Telangana,Abram Chanda
B367,Delhi Finance Branch 367,Delhi,Delhi,Diya Kumar
B368,Hyderabad Finance Branch 368,Hyderabad,Telangana,Zaina Kant
B369,Delhi Finance Branch 369,Delhi,Delhi,Damini Ray
B370,Jaipur Finance Branch 370,Jaipur,Rajasthan,Vivaan Bassi
B371,Lucknow Finance Branch 371,Lucknow,Uttar Pradesh,Arhaan Bobal
B372,Mumbai Finance Branch 372,Mumbai,Maharashtra,Aarush Swaminathan
B373,Chandigarh Finance Branch 373,Chandigarh,Punjab,Vihaan Vig
